1	"KAM 1"	"KAM 1"	"KAM 1"	"KAM 1"	"KAM 1"
2	"KAM 2"	"KAM 2"	"KAM 2"	"KAM 2"	"KAM 2"
3	"KAM 3"	"KAM 3"	"KAM 3"	"KAM 3"	"KAM 3"
4	"WCU 1"	"WCU 1"	"WCU 1"	"WCU 1"	"WCU 1"
5	"MAZ 1"	"MAZ 1"	"MAZ 1"	"MAZ 1"	"MAZ 1"
6	"MAZ 1 Super"	"MAZ 1 Super"	"MAZ 1 Super"	"MAZ 1 Super"	"MAZ 1 Super"
7	"MAZ 2 "	"MAZ 2 "	"MAZ 2 "	"MAZ 2 "	"MAZ 2 "
8	"MAZ 2 Super"	"MAZ 2 Super"	"MAZ 2 Super"	"MAZ 2 Super"	"MAZ 2 Super"
9	"MAZ 3"	"MAZ 3"	"MAZ 3"	"MAZ 3"	"MAZ 3"
10	"MAZ 3 Super"	"MAZ 3 Super"	"MAZ 3 Super"	"MAZ 3 Super"	"MAZ 3 Super"
11	"NITRIS"	"NITRIS"	"NITRIS"	"NITRIS"	"NITRIS"
12	"PGM"	"PGM"	"PGM"	"PGM"	"PGM"
13	"PGM 2"	"PGM 2"	"PGM 2"	"PGM 2"	"PGM 2"
14	"AUX 1"	"AUX 1"	"AUX 1"	"AUX 1"	"AUX 1"
15	"AUX 2"	"AUX 2"	"AUX 2"	"AUX 2"	"AUX 2"
16	"PVW"	"PVW"	"PVW"	"PVW"	"PVW"
17	"AUX 3"	"AUX 3"	"AUX 3"	"AUX 3"	"AUX 3"
18	"EXT 1"	"EXT 1"	"EXT 1"	"EXT 1"	"EXT 1"
19	"EXT 2"	"EXT 2"	"EXT 2"	"EXT 2"	"EXT 2"
20	"TC-INS"	"TC-INS"	"TC-INS"	"TC-INS"	"TC-INS"
21	"IRD 1"	"IRD 1"	"IRD 1"	"IRD 1"	"IRD 1"
22	"IRD 2"	"IRD 2"	"IRD 2"	"IRD 2"	"IRD 2"
23	"SL 1"	"SL 1"	"SL 1"	"SL 1"	"SL 1"
24	"SL 2"	"SL 2"	"SL 2"	"SL 2"	"SL 2"
25	"MV 1.1"	"MV 1.1"	"MV 1.1"	"MV 1.1"	"MV 1.1"
26	"MV 1.2"	"MV 1.2"	"MV 1.2"	"MV 1.2"	"MV 1.2"
27	"MV 2.1"	"MV 2.1"	"MV 2.1"	"MV 2.1"	"MV 2.1"
28	"MV 2.2"	"MV 2.2"	"MV 2.2"	"MV 2.2"	"MV 2.2"
29	"DEEMB 1"	"DEEMB 1"	"DEEMB 1"	"DEEMB 1"	"DEEMB 1"
30	"DEEMB 2"	"DEEMB 2"	"DEEMB 2"	"DEEMB 2"	"DEEMB 2"
31	"SAT 1"	"SAT 1"	"SAT 1"	"SAT 1"	"SAT 1"
32	"SAT 2"	"SAT 2"	"SAT 2"	"SAT 2"	"SAT 2"
33	"DVB-T"	"DVB-T"	"DVB-T"	"DVB-T"	"DVB-T"
34	"BluRay"	"BluRay"	"BluRay"	"BluRay"	"BluRay"
35	"PC 1"	"PC 1"	"PC 1"	"PC 1"	"PC 1"
36	"PC 2"	"PC 2"	"PC 2"	"PC 2"	"PC 2"
37	"PC 3"	"PC 3"	"PC 3"	"PC 3"	"PC 3"
38					
39	"CBAR"	"CBAR"	"CBAR"	"CBAR"	"CBAR"
40	"TEST"	"TEST"	"TEST"	"TEST"	"TEST"
41	"BLACK"	"BLACK"	"BLACK"	"BLACK"	"BLACK"
42	"CONV 1 out"	"CONV 1 out"	"CONV 1 out"	"CONV 1 out"	"CONV 1 out"
43	"CONV 2 out"	"CONV 2 out"	"CONV 2 out"	"CONV 2 out"	"CONV 2 out"
44	"WVR"	"WVR"	"WVR"	"WVR"	"WVR"
45	"AVID"	"AVID"	"AVID"	"AVID"	"AVID"
46	"KAM 1 Char"	"KAM 1 Char"	"KAM 1 Char"	"KAM 1 Char"	"KAM 1 Char"
47	"KAM 2 Char"	"KAM 2 Char"	"KAM 2 Char"	"KAM 2 Char"	"KAM 2 Char"
48	"KAM 3 Char"	"KAM 3 Char"	"KAM 3 Char"	"KAM 3 Char"	"KAM 3 Char"
49	"WCU 1 Char"	"WCU 1 Char"	"WCU 1 Char"	"WCU 1 Char"	"WCU 1 Char"
50	"DOWN 1"	"DOWN 1"	"DOWN 1"	"DOWN 1"	"DOWN 1"
51	"DOWN 2"	"DOWN 2"	"DOWN 2"	"DOWN 2"	"DOWN 2"
52	"MAZ 1.2"	"MAZ 1.2"	"MAZ 1.2"	"MAZ 1.2"	"MAZ 1.2"
53	"MAZ 2.2"	"MAZ 2.2"	"MAZ 2.2"	"MAZ 2.2"	"MAZ 2.2"
54					
55					
56					
57	"VSF B/19"	"VSF B/19"	"VSF B/19"	"VSF B/19"	"VSF B/19"
58	"VSF B/20"	"VSF B/20"	"VSF B/20"	"VSF B/20"	"VSF B/20"
59	"VSF B/21"	"VSF B/21"	"VSF B/21"	"VSF B/21"	"VSF B/21"
